gameid,playouts,playerindex,wondername,boardGold,CIVIL,MILITARY,SCIENCE,TRADE,GUILD,WONDER,GOLD
74,10,2,EphesosB,2,19,3,2,2,0,10,0
164,20,1,RhodosA,11,23,13,1,3,0,10,3
164,20,0,AlexandriaB,7,15,7,13,0,6,0,2
164,20,2,GizahB,4,8,-4,16,0,5,8,1
452,160,0,EphesosB,25,0,17,10,0,10,5,8
452,160,2,GizahA,5,26,2,0,7,0,3,1
452,160,1,AlexandriaA,1,24,-5,5,0,4,3,0
75,10,2,AlexandriaB,2,10,17,5,0,0,7,0
75,10,1,GizahA,9,10,0,18,1,3,3,3
75,10,0,RhodosB,9,20,1,1,0,12,0,3
42,10,2,RhodosA,6,23,10,2,0,6,0,2
42,10,0,GizahB,3,14,-1,13,0,14,0,1
42,10,1,EphesosA,23,9,7,2,0,0,10,7
203,40,0,AlexandriaB,32,22,-2,1,6,12,7,10
203,40,2,GizahA,1,15,9,13,0,0,8,0
203,40,1,EphesosB,3,15,11,2,0,5,10,1
76,10,1,EphesosB,2,18,12,5,0,8,10,0
76,10,0,RhodosA,14,8,10,13,5,6,3,4
76,10,2,GizahA,11,23,-4,4,0,0,15,3
43,10,0,AlexandriaB,9,9,18,2,7,0,7,3
43,10,2,EphesosA,17,12,5,4,0,8,10,5
43,10,1,RhodosA,4,18,-5,10,0,4,3,1
229,40,1,GizahA,4,28,9,1,0,4,15,1
229,40,2,EphesosA,11,10,7,4,0,10,10,3
229,40,0,AlexandriaA,12,5,2,13,2,9,3,4
142,20,0,AlexandriaB,16,15,3,10,2,9,7,5
142,20,1,GizahB,2,30,3,10,1,0,3,0
142,20,2,EphesosA,2,0,6,16,0,5,10,0
44,10,0,GizahA,5,21,7,4,3,14,8,1
44,10,1,EphesosB,8,11,-4,21,2,3,10,2
44,10,2,AlexandriaB,15,16,11,2,0,3,7,5
56,10,1,EphesosB,6,6,14,16,0,6,10,2
56,10,2,AlexandriaA,5,24,4,1,0,6,10,1
56,10,0,GizahB,16,16,-2,13,1,0,0,5
165,20,1,EphesosA,8,22,-1,2,3,0,10,2
165,20,2,GizahB,3,5,14,10,1,0,3,1
165,20,0,AlexandriaB,11,8,-1,13,0,9,0,3
62,10,1,EphesosA,20,21,4,4,0,4,10,6
62,10,2,RhodosB,5,27,8,1,0,0,7,1
62,10,0,GizahA,4,7,6,5,3,10,0,1
85,10,2,RhodosA,12,5,16,4,0,9,10,4
85,10,1,EphesosB,16,12,0,10,2,2,5,5
85,10,0,GizahB,4,13,2,5,2,0,8,1
19,10,2,EphesosA,8,18,11,9,0,0,10,2
19,10,1,GizahA,8,17,4,5,3,0,15,2
19,10,0,AlexandriaB,22,20,-1,4,2,4,0,7
63,10,2,RhodosB,1,23,8,13,0,6,0,0
63,10,0,AlexandriaA,20,11,6,1,5,13,3,6
63,10,1,EphesosA,5,15,2,5,0,0,10,1
64,10,1,RhodosB,15,29,15,2,4,0,3,5
64,10,0,AlexandriaA,28,7,8,2,4,10,10,9
64,10,2,EphesosB,4,14,-5,18,0,0,10,1
65,10,0,RhodosA,27,10,2,1,8,10,10,9
65,10,1,GizahB,1,18,6,2,0,0,20,0
65,10,2,EphesosB,4,7,8,5,0,6,10,1
86,10,0,GizahB,20,0,12,25,0,10,0,6
86,10,2,AlexandriaB,0,22,10,2,0,6,7,0
86,10,1,EphesosA,5,26,-4,0,0,10,10,1
57,10,1,RhodosB,6,20,13,4,1,6,3,2
57,10,2,AlexandriaA,4,33,-2,5,0,0,10,1
57,10,0,GizahB,10,0,3,8,0,12,8,3
166,20,2,RhodosA,1,25,16,1,0,5,10,0
166,20,1,EphesosB,4,22,-6,4,1,5,10,1
166,20,0,GizahB,18,8,8,5,1,2,3,6
230,40,0,RhodosA,19,13,17,10,1,6,3,6
230,40,2,GizahB,8,15,7,2,0,9,20,2
230,40,1,EphesosB,14,23,-6,4,3,5,10,4
45,10,1,RhodosB,0,21,14,5,0,6,3,0
45,10,2,GizahB,8,17,6,1,0,0,20,2
45,10,0,AlexandriaA,14,3,-2,2,2,22,10,4
20,10,0,GizahA,27,0,12,13,5,10,0,9
20,10,2,AlexandriaB,3,30,-4,5,0,6,7,1
20,10,1,EphesosB,1,11,8,10,0,0,10,0
143,20,1,GizahB,8,17,8,5,0,6,13,2
143,20,2,RhodosB,5,30,4,1,0,10,3,1
143,20,0,AlexandriaB,10,0,6,16,5,2,0,3
66,10,2,AlexandriaA,4,19,7,4,0,0,10,1
66,10,1,GizahA,4,6,13,2,3,0,15,1
66,10,0,EphesosA,10,9,-4,10,2,11,0,3
58,10,0,AlexandriaB,9,0,18,5,0,16,7,3
58,10,2,RhodosB,1,36,4,9,0,0,0,0
58,10,1,EphesosA,16,14,-4,5,3,2,10,5
231,40,0,AlexandriaA,30,10,7,13,4,10,0,10
231,40,1,RhodosB,0,25,17,2,0,4,0,0
231,40,2,EphesosB,2,20,-6,16,0,2,10,0
59,10,0,RhodosB,7,19,-3,18,0,6,7,2
59,10,1,GizahA,14,11,16,2,2,5,8,4
59,10,2,EphesosB,13,21,3,5,3,0,10,4
21,10,2,RhodosB,25,21,0,13,0,0,7,8
21,10,1,EphesosB,1,22,2,8,5,0,10,0
21,10,0,GizahA,7,8,16,5,1,11,3,2
